secao,pct_prefeito_nosso,pct_vereador_nosso,ano
1,37.80068728522337,40.54054054054054,2020
2,42.394822006472495,43.225806451612904,2020
3,41.118421052631575,41.63934426229508,2020
4,40.863787375415285,42.12328767123288,2020
6,42.78606965174129,45.27363184079602,2020
7,42.05298013245033,37.908496732026144,2020
8,45.45454545454545,42.53393665158371,2020
9,58.19672131147541,58.15899581589959,2020
10,32.48945147679325,30.973451327433626,2020
11,34.49781659388647,34.66666666666667,2020
12,42.17687074829932,49.65753424657534,2020
13,37.54266211604095,37.84722222222222,2020
14,47.39583333333333,44.27083333333333,2020
15,35.92814371257485,22.424242424242426,2020
16,36.15023474178404,29.71698113207547,2020
17,46.92982456140351,38.52813852813853,2020
18,40.17094017094017,32.467532467532465,2020
19,35.42857142857142,35.63218390804598,2020
20,37.84722222222222,44.75524475524475,2020
21,31.103678929765888,21.52317880794702,2020
22,31.636363636363633,34.67153284671533,2020
23,32.78145695364238,29.903536977491964,2020
24,44.49339207048458,27.016129032258064,2020
25,27.759197324414714,27.054794520547947,2020
26,43.790849673202615,42.10526315789473,2020
27,45.307443365695796,44.69453376205787,2020
28,39.79057591623037,29.629629629629626,2020
29,43.49442379182156,28.000000000000004,2020
30,38.079470198675494,41.612903225806456,2020
31,39.603960396039604,38.87043189368771,2020
34,44.44444444444444,46.026490066225165,2020
35,46.381578947368425,44.40789473684211,2020
37,43.41463414634146,40.29126213592233,2020
40,43.56060606060606,47.54716981132076,2020
41,40.50632911392405,39.58333333333333,2020
85,29.80392156862745,38.671875,2020
1,52.112676056338024,40.18691588785047,2024
2,54.310344827586206,42.48927038626609,2024
3,51.31578947368421,42.54385964912281,2024
4,57.65765765765766,38.99082568807339,2024
5,57.534246575342465,44.907407407407405,2024
6,54.63917525773196,41.41414141414141,2024
7,57.26141078838174,46.41350210970464,2024
8,54.41176470588235,39.61352657004831,2024
9,72.34848484848484,72.42647058823529,2024
10,44.6215139442231,36.144578313253014,2024
11,44.78764478764479,38.152610441767074,2024
12,63.21428571428571,34.67153284671533,2024
13,63.41463414634146,31.269349845201237,2024
14,52.659574468085104,51.33689839572193,2024
15,53.086419753086425,31.70731707317073,2024
16,43.90243902439025,32.69230769230769,2024
17,65.67796610169492,51.26050420168067,2024
18,62.01550387596899,52.123552123552116,2024
19,55.00000000000001,27.624309392265197,2024
20,57.04697986577181,35.153583617747444,2024
21,55.92705167173252,46.93251533742331,2024
22,57.961783439490446,62.101910828025474,2024
23,57.491289198606275,53.16901408450704,2024
24,68.75,53.75939849624061,2024
25,48.226950354609926,33.093525179856115,2024
26,64.70588235294117,41.95402298850575,2024
27,55.73122529644269,40.963855421686745,2024
28,55.778894472361806,31.979695431472084,2024
29,63.70106761565836,45.64459930313589,2024
30,54.90196078431373,46.58634538152611,2024
31,59.68992248062015,44.06130268199234,2024
33,56.17529880478087,35.714285714285715,2024
34,59.53307392996109,40.0,2024
35,51.98412698412699,41.53225806451613,2024
37,57.19557195571956,44.19475655430712,2024
38,63.77358490566037,42.857142857142854,2024
39,68.32061068702289,45.28301886792453,2024
40,67.09956709956711,45.493562231759654,2024
41,60.26200873362445,40.692640692640694,2024
85,63.26530612244898,42.916666666666664,2024
96,78.87323943661971,63.38028169014085,2024
98,57.333333333333336,51.31578947368421,2024
